,country,country_code,date_added,has_expired,job_board,job_description,job_title,job_type,location,organization,page_url,salary,sector,uniq_id,state
3111,United States of America,US,,No,jobs.monster.com,sr. big data architect job in los angeles,sr. big data architect job in los angeles,Full Time Employee,"Los Angeles, CA 90025",Energy and Utilities,http://jobview.monster.com/Sr-Big-Data-Architect-Job-Los-Angeles-CA-US-166597135.aspx?mescoid=1500142001001&jobPosition=18,,IT/Software Development,3ccc91904f52ae9954d40a29514a5145,CA
3298,United States of America,US,,No,jobs.monster.com,business analyst job in new berlin,business analyst job in new berlin,Full Time,"New Berlin, NY 13411",Manufacturing - Other,http://jobview.monster.com/Business-Analyst-Job-New-Berlin-NY-US-166755270.aspx?mescoid=1300087001001&jobPosition=2,,Experienced (Non-Manager),44731724904143d9e352c69a171df870,NY
3367,United States of America,US,,No,jobs.monster.com,sfdc business analyst job in irving,sfdc business analyst job in irving,Full Time Employee,"Irving, TX 75038",Technology,http://jobview.monster.com/SFDC-Business-Analyst-Job-Irving-TX-US-165627400.aspx?mescoid=1300087001001&jobPosition=3,,IT/Software Development,66b68dcae4daf3eee904af93ea75ba3b,TX
3540,United States of America,US,,No,jobs.monster.com,data analyst job in orlando,data analyst job in orlando,Full Time Temporary/Contract/Project,"Orlando, FL",Technology,http://jobview.monster.com/Data-Analyst-Job-Orlando-FL-US-164550135.aspx?mescoid=1300087001001&jobPosition=11,30.00 - 33.00 $ /hour,IT/Software Development,832a5bbfc28b16e3ffd662750c0f6342,FL
3543,United States of America,US,,No,jobs.monster.com,lead web analytics (digital analytics) engineer - lead web analytics (digital analytics) engineer job in south chelmsford,lead web analytics (digital analytics) engineer - lead web analytics (digital analytics) engineer job in south chelmsford,Full Time Employee,"South Chelmsford, MA 01824",Healthcare ServicesStaffing/Employment AgenciesComputer/IT Services,http://jobview.monster.com/Lead-Web-Analytics-Digital-Analytics-Engineer-Lead-Web-Analytics-Digital-Analytics-Engineer-Job-South-Chelmsford-MA-US-166656780.aspx?mescoid=1500127001001&jobPosition=10,,IT/Software Development,a7ef5e6276018e0feb5adcfd9ade8c34,MA
3610,United States of America,US,,No,jobs.monster.com,business analyst job in cincinnati,business analyst job in cincinnati,"Full Time, Temporary/Contract/Project","Cincinnati, OH 45202",Technology,http://jobview.monster.com/Business-Analyst-Job-Cincinnati-OH-US-166661187.aspx?mescoid=1300087001001&jobPosition=9,,IT/Software Development,764244f55ab7646b628ad3de6b249dbc,OH
3620,United States of America,US,,No,jobs.monster.com,customer facing business analyst (% travel) job in fort lauderdale,customer facing business analyst (% travel) job in fort lauderdale,"Full Time, Employee","Fort Lauderdale, FL 33313",Other/Not Classified,http://jobview.monster.com/Customer-Facing-Business-Analyst-75-travel-Job-Fort-Lauderdale-FL-US-166612005.aspx?mescoid=1300087001001&jobPosition=20,,Experienced (Non-Manager),00fdd0d95a6d404ac35de812bd9d20b8,FL
3621,United States of America,US,,No,jobs.monster.com,data specialist job in san antonio,data specialist job in san antonio,Full Time Employee,"San Antonio, TX 78245",Energy and Utilities,http://jobview.monster.com/Data-Specialist-Job-San-Antonio-TX-US-166745628.aspx?mescoid=4300761001001&jobPosition=8,,IT/Software Development,d7edd1ed4c4a7420887c480997568ef9,TX
3701,United States of America,US,,No,jobs.monster.com,oracle database administrator job in clemson,oracle database administrator job in clemson,Full Time,"Clemson, SC 29634",Staffing/Employment Agencies,http://jobview.monster.com/Oracle-Database-Administrator-Job-Clemson-SC-US-166675746.aspx?mescoid=1500130001001&jobPosition=18,,,1cc98c37a01a04f79406cd29ef82c91b,SC
3709,United States of America,US,,No,jobs.monster.com,senior business analyst job in san francisco,senior business analyst job in san francisco,"Full Time, Temporary/Contract/Project","San Francisco, CA 94105",Technology,http://jobview.monster.com/Senior-Business-Analyst-Job-San-Francisco-CA-US-166616476.aspx?mescoid=1300087001001&jobPosition=15,,IT/Software Development,8f31a267bf876d91b5986a23d191fdc5,CA
3753,United States of America,US,,No,jobs.monster.com,business analyst job in chicago,business analyst job in chicago,"Full Time, Employee","Chicago, IL 60290",Other/Not Classified,http://jobview.monster.com/Business-Analyst-Job-Chicago-IL-US-166749914.aspx?mescoid=1300087001001&jobPosition=7,,Experienced (Non-Manager),315a51da906cde62548e1d0c46c7f4f1,IL
3768,United States of America,US,,No,jobs.monster.com,business analyst job in bethesda,business analyst job in bethesda,Full Time,"Bethesda, MD 20892",Technology,http://jobview.monster.com/Business-Analyst-Job-Bethesda-MD-US-166653819.aspx?mescoid=1300087001001&jobPosition=16,,Experienced (Non-Manager),7ace84f7575b9d0828c4c87a6d8938f3,MD
4317,United States of America,US,,No,jobs.monster.com,netezza database administrator job in cincinnati,netezza database administrator job in cincinnati,"Full Time, Employee","Cincinnati, OH 45242",Technology,http://jobview.monster.com/netezza-database-administrator-job-cincinnati-oh-us-174422673.aspx?mescoid=1500130001001&jobPosition=14,,IT/Software Development,4c3a0724bc6ddd360aa9b7eeb203a5f7,OH
4330,United States of America,US,,No,jobs.monster.com,data analytics analyst job in west chester,data analytics analyst job in west chester,"Full Time, Temporary/Contract/Project","West Chester, OH 45069",Other/Not Classified,http://jobview.monster.com/data-analytics-analyst-job-west-chester-oh-us-174853881.aspx?mescoid=1300087001001&jobPosition=4,40.00 - 50.00 $ /hour,Systems Analysis - ITWeb/UI/UX Design,f7f542ef618079ce541e03344969bd72,OH
4558,United States of America,US,,No,jobs.monster.com,sap business intelligence manager job in monroe,sap business intelligence manager job in monroe,Full Time Employee,"Monroe, LA 71203",,http://jobview.monster.com/sap-business-intelligence-manager-job-monroe-la-us-171851599.aspx?mescoid=1100011001001&jobPosition=19,,,82a4ba8bef9308db2c1f8cf22cd1f4c4,LA
4964,United States of America,US,,No,jobs.monster.com,technical business data analyst job in columbus,technical business data analyst job in columbus,Full Time,"Columbus, OH 43215",,http://jobview.monster.com/Technical-Business-Data-Analyst-Job-Columbus-OH-US-165705551.aspx?mescoid=1500144001001&jobPosition=2,,,3298fdc203204b75d1a4f5cff6398acb,OH
4980,United States of America,US,,No,jobs.monster.com,project manager / business analyst job in columbus,project manager / business analyst job in columbus,"Full Time, Temporary/Contract/Project","Columbus, OH 43215",Manager (Manager/Supervisor of Staff),http://jobview.monster.com/Project-Manager-Business-Analyst-Job-Columbus-OH-US-165644542.aspx?mescoid=1300087001001&jobPosition=10,,Manager (Manager/Supervisor of Staff),117cfd4c3ef08f51c34bc37b0d51ef8d,OH
5128,United States of America,US,,No,jobs.monster.com,it business analyst job in columbus,it business analyst job in columbus,Full Time Employee,"Columbus, OH",Technology,http://jobview.monster.com/IT-Business-Analyst-Job-Columbus-OH-US-165176054.aspx?mescoid=1500123001001&jobPosition=7,,IT/Software Development,4fefb609f09a0c0657799bbf48621a30,OH
5158,United States of America,US,,No,jobs.monster.com,data analyst job in columbus,data analyst job in columbus,Full Time,"Columbus, OH 43212",Computer Software,http://jobview.monster.com/Data-Analyst-Job-Columbus-OH-US-165371764.aspx?mescoid=1300087001001&jobPosition=2,,,a6509d3f49462a99c0adcd2ef0735571,OH
5284,United States of America,US,,No,jobs.monster.com,it business analyst job in wheeling,it business analyst job in wheeling,"Full Time, Employee","Wheeling, WV",Legal,http://jobview.monster.com/IT-Business-Analyst-Job-Wheeling-WV-US-165675208.aspx?mescoid=1500123001001&jobPosition=14,,Legal,eb7cbb7eb49c55c018475197c2268f8d,WV
5296,United States of America,US,,No,jobs.monster.com,business analyst job in pittsburgh,business analyst job in pittsburgh,"Full Time, Employee","Pittsburgh, PA",Legal Services,http://jobview.monster.com/Business-Analyst-Job-Pittsburgh-PA-US-165696288.aspx?mescoid=1300087001001&jobPosition=15,,Legal,7666897b270c2bc097fb6ceaba7e85af,PA
6015,United States of America,US,,No,jobs.monster.com,senior business analyst - telematics service provi job in dallas,senior business analyst - telematics service provi job in dallas,"Full Time, Temporary/Contract/Project","Dallas, TX",Staffing/Employment Agencies,http://jobview.monster.com/Senior-Business-Analyst-Telematics-Service-Provi-Job-Dallas-TX-US-165765852.aspx?mescoid=1300087001001&jobPosition=2,,IT/Software Development,60f8ea46fdc03fe8b4dbcd54e247a9c7,TX
6426,United States of America,US,,No,jobs.monster.com,global analytics lead,global analytics lead,Full Time,"Philadelphia, PA 19019",Other/Not Classified,http://jobview.monster.com/global-analytics-lead-analytics-center-of-excellence-r-d-solutions-job-philadelphia-pa-us-176622677.aspx?mescoid=1900305001001&jobPosition=11,,Experienced (Non-Manager),a29a10ff5f4467eb70dfd4e66cf5c901,PA
6472,United States of America,US,,No,jobs.monster.com,data analyst project coordinator job in pittsburgh,data analyst project coordinator job in pittsburgh,Full Time Temporary/Contract/Project,"Pittsburgh, PA 15051",Engineering ServicesMedical Devices and Supplies,http://jobview.monster.com/data-analyst-project-coordinator-job-pittsburgh-pa-us-176622300.aspx?mescoid=1300087001001&jobPosition=12,,Biotech/R&D/Science,6715a675a4fa31d7cd273d5d5b920860,PA
6794,United States of America,US,,No,jobs.monster.com,sr. business analyst - commercial mortgage job in st louis,sr. business analyst - commercial mortgage job in st louis,"Full Time, Employee","St Louis, MO",Technology,http://jobview.monster.com/sr-business-analyst-commercial-mortgage-job-st-louis-mo-us-168767060.aspx?mescoid=1300087001001&jobPosition=16,,IT/Software Development,039ce809db618d59e41f339f9edf1bb7,MO
6822,United States of America,US,,No,jobs.monster.com,machine learning engineer,machine learning engineer,,"Machine Learning Engineer Job in Redwood City 94061, California US CyberCoders Search. Apply. Done. Learn more about CyberCoders Machine Learning Engineer Apply Redwood City, CA Full-Time $110,000 - $160,000 Job Details If you are a Machine Learning Engineer with experience, please read on!Job Title: Machine Learning EngineerLocation: Redwood City, CASalary: $110-160kThe company: We use our services to digitally transform businesses in the areas of Predictive Maintenance, Product/Content Recommendations, and Fraud Predictions. Our platform is revolutionizing the way Enterprises use Data Analytics by providing a fast scalable automated platform . We look for the best and brightest and you could be the next Data Scientist we add to our team!!Top Reasons to Work with Us1. Be a part of an award-winning cognitive data science platform to build revolutionary data products for Predictions and Recommendations!2. A well-funded start-up where you play an integral part in the company and be in a leadership role3. Health and Medical benefitsWhat You Will Be Doing• Work with machine learning algorithms to enhance cognitive data science technology in an automated way• Use predictive analytics and recommendation• Client-facing role where you will be communicating with management and high level executives• Collaborate with marketing to promote DataRPM technologyWhat You Need for this PositionRequirements: Bachelors in Computer Science or Equivalent- Preferred Masters or PhD in Machine Learning, Data Analytics, Big Data or similar 2+ Years experience or knowledge of the following: - Machine Learning- Spark, Sparl ML, or Spark Mlilb-Java/ Scala- Predictive modeling- Data Streaming- Clustering Pluses:- Experience with interacting with customers in IoT, Manufacturing, Telecom, or Financial Services-Data visualizationWhat's In It for You- Competitive Salary- Great Work Environment- Immediate HireIf you are an experienced Machine Learning Engineer, please apply today! or simply send your resume to: amanda.wilson@CyberCoders.com Applicants must be authorized to work in the U.S. Are you a good fit for this position? Amanda Wilson is recruiting for this position. Apply Job ID: AW2-1291402 Clicking the green apply button is the best way to apply, but you may also email me your resume in Word: Amanda.Wilson@CyberCoders.com **Please do NOT change the email subject line in any way. You must keep the JobID: CC MonsterAp: AW2-1291402 -- in the email subject line for your application to be considered.** Thank you, Amanda Wilson | Executive Recruiter | CyberCoders CyberCoders, Inc is proud to be an Equal Opportunity Employer All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law. Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire. Copyright © 1999 - 2016. CyberCoders, Inc. All rights reserved.",,http://jobview.monster.com/machine-learning-engineer-job-redwood-city-ca-us-168720165.aspx?mescoid=1700190001001&jobPosition=18,,,2de664789885d2e0a479b8c981826776,CA
6859,United States of America,US,,No,jobs.monster.com,business intelligence developer job in tulsa,business intelligence developer job in tulsa,Full Time Employee,"Tulsa, OK",Technology,http://jobview.monster.com/business-intelligence-developer-job-tulsa-ok-us-168780459.aspx?mescoid=1500127001001&jobPosition=15,,Experienced (Non-Manager),d813a7e63ac678df903bc1de9dfcfe68,OK
7098,United States of America,US,,No,jobs.monster.com,oracle database administrator (government) job in stafford,oracle database administrator (government) job in stafford,,"Stafford, VA",,http://jobview.monster.com/oracle-database-administrator-government-job-stafford-va-us-170252397.aspx?mescoid=1500130001001&jobPosition=11,,,03523f7b990fe2c91c89b56a3f866172,VA
7139,United States of America,US,,No,jobs.monster.com,"red salsa technologies inc job application for sql server database administrator | monster.com var mons_log_vars = {""jobid"":","red salsa technologies inc job application for sql server database administrator | monster.com var mons_log_vars = {""jobid"":","Full Time, Employee","Our client is interested in hiring an SQL Server DBA who has strong technical background in SQL DBA, MCSE 2005, 2008 and 2012 certified, install and configure MS SQL Server 2008 and 2012, backup/restore, tune database, SSMS, Shell Scripts, Communications, 24/7 availability for emergencies. Please let us know whether you would like to be considered. We hope you do as this is truly a great opportunity to make a difference. If you are interested please respond back to this e-mail with your updated resume and a summary of your key skills and the compensation you are looking for. The details of the position are as mentioned below:Title : Senior SQL Server Database Admin-51585Location : Atlanta, GA 30303Duration : 9 + MonthsJob Type : CDescription : Senior SQL Server Database Administrator ·         Minimum 10 years’ experience·         SQL Server certifications – MCSE 2005, 2008, 2012 (all preferred, 2008 required)·         Install and configure MS Windows O/S for SQL Server in VMware environment·         Install and configure MS-SQL Server 2008 & 2012 software·         Create, maintain, backup/restore, tune databases for development, test, and production·         Use MS-SQL Server Management Studio (SSMS) to automated processes to implement database changes·         Create shell scripts to automate various DBA tasks·         Communicate with application vendors to install, configure necessary SQL Server components to support purchased applications·         Work closely with Systems Administrator to plan, configure, and tune servers for optimal SQL Server performance. ·         Must be available 24/7 for emergencies",Government and Military,http://jobview.monster.com/sql-server-database-administrator-job-atlanta-ga-us-178623831.aspx?mescoid=1500130001001&jobPosition=10,,,6df0d3476deb4227796dd45237cac459,MS
7142,United States of America,US,,No,jobs.monster.com,business analyst job in smyrna,business analyst job in smyrna,Full Time Employee,"Smyrna, GA 30080",Other/Not Classified,http://jobview.monster.com/business-analyst-job-smyrna-ga-us-178595912.aspx?mescoid=1300087001001&jobPosition=20,,Experienced (Non-Manager),102c71289fc04e1c186fa06a1b598985,GA
7422,United States of America,US,,No,jobs.monster.com,data scientist - immediate and perm job in las vegas,data scientist - immediate and perm job in las vegas,Full Time,"Las Vegas, NV 89119",Other/Not Classified,http://jobview.monster.com/Data-Scientist-Immediate-Perm-Job-Las-Vegas-NV-US-166679986.aspx?mescoid=1500152001001&jobPosition=15,Up to $85000.00,Experienced (Non-Manager),555cb033883311b8aa1243eca67d6fc8,NV
7727,United States of America,US,,No,jobs.monster.com,business analyst job in las vegas,business analyst job in las vegas,"Full Time, Employee","Las Vegas, NV 89129","Travel, Transportation and Tourism",http://jobview.monster.com/Business-Analyst-Job-Las-Vegas-NV-US-161014579.aspx?mescoid=1300087001001&jobPosition=3,,IT/Software Development,82c7631ece75bdc99967bfca429e4396,NV
7769,United States of America,US,,No,jobs.monster.com,digital analytics lead credit card services job in las vegas,digital analytics lead credit card services job in las vegas,Full Time,"Las Vegas, NV",Other/Not Classified,http://jobview.monster.com/Digital-Analytics-Lead-Credit-Card-Services-Job-Las-Vegas-NV-US-165972936.aspx?mescoid=1100055001001&jobPosition=13,Competitive,Experienced (Non-Manager),c55526efb4e1684a63e729bed9be3abf,NV
7785,United States of America,US,,No,jobs.monster.com,it business analyst job in madison,it business analyst job in madison,Full Time Employee,"Madison, WI",Technology,http://jobview.monster.com/IT-Business-Analyst-Job-Madison-WI-US-167150067.aspx?mescoid=1500123001001&jobPosition=19,,Experienced (Non-Manager),f3b0f2d68cc9e47e6005ed0b64e97341,WI
7967,United States of America,US,,No,jobs.monster.com,database administrator job in las vegas,database administrator job in las vegas,"Full Time, Employee","Las Vegas, NV",Technology,http://jobview.monster.com/Database-Administrator-Job-Las-Vegas-NV-US-166436797.aspx?mescoid=1500130001001&jobPosition=2,,IT/Software Development,15467cf5a6a12bd59f8c376760231c77,NV
8015,United States of America,US,,No,jobs.monster.com,sql database administrator\engineer (government) job in columbia,sql database administrator\engineer (government) job in columbia,,"Columbia, MD",,http://jobview.monster.com/SQL-Database-Administrator-Engineer-Government-Job-Columbia-MD-US-167126541.aspx?mescoid=1500130001001&jobPosition=6,,,dcb646c5b5742e496996959800c5c394,MD
8199,United States of America,US,,No,jobs.monster.com,specialist government contracting and analytics job in bridgewater,specialist government contracting and analytics job in bridgewater,"Full Time, Employee","Bridgewater, NJ",Biotechnology/Pharmaceuticals,http://jobview.monster.com/Specialist-Government-Contracting-Analytics-Job-Bridgewater-NJ-US-166679059.aspx?mescoid=1300093001001&jobPosition=3,,General/Other: Sales/Business Development,8821557ebc6d1682e54a81e47b9db1a6,NJ
8378,United States of America,US,,No,jobs.monster.com,data analyst job in denver,data analyst job in denver,Full Time Employee,"Denver, CO",Technology,http://jobview.monster.com/data-analyst-job-denver-co-us-169265006.aspx?mescoid=1300087001001&jobPosition=3,,Systems Analysis - IT,69fc4ab1c2df93d611021398b03b0850,CO
8419,United States of America,US,,No,jobs.monster.com,db / idms database administrator lead job in princeton,db / idms database administrator lead job in princeton,Full Time,"Princeton, NJ 08541",,http://jobview.monster.com/DB2-IDMS-Database-Administrator-Lead-Job-Princeton-NJ-US-167407379.aspx?mescoid=1500130001001&jobPosition=6,,,ce405a2d4ed62ebe1883191dbadc8018,NJ
8710,United States of America,US,,No,jobs.monster.com,operations business analyst-tool rental job in atlanta,operations business analyst-tool rental job in atlanta,Full Time,"Atlanta, GA 30301",Retail,http://jobview.monster.com/operations-business-analyst-tool-rental-job-atlanta-ga-us-171096369.aspx?mescoid=1300087001001&jobPosition=6,,Manager (Manager/Supervisor of Staff),4957ef2c884cdfd3bf624c3a7abbecca,GA
8797,United States of America,US,,No,jobs.monster.com,senior data engineer job in atlanta,senior data engineer job in atlanta,Full Time,"Atlanta, GA 30308",Other/Not Classified,http://jobview.monster.com/senior-data-engineer-job-atlanta-ga-us-171175773.aspx?mescoid=1500127001001&jobPosition=20,,Experienced (Non-Manager),507bf69e3aa52df685ddc5115d45e11a,GA
8829,United States of America,US,,No,jobs.monster.com,operations business analyst job in atlanta,operations business analyst job in atlanta,Full Time,"Atlanta, GA 30301",Retail,http://jobview.monster.com/operations-business-analyst-job-atlanta-ga-us-170811081.aspx?mescoid=1300087001001&jobPosition=11,,Manager (Manager/Supervisor of Staff),95158d5ba6110ff7b8f87bab21743556,GA
8852,United States of America,US,,No,jobs.monster.com,sr operations business analyst- tool rental job in atlanta,sr operations business analyst- tool rental job in atlanta,Full Time,"Atlanta, GA 30301",Retail,http://jobview.monster.com/sr-operations-business-analyst-tool-rental-job-atlanta-ga-us-171096367.aspx?mescoid=1300087001001&jobPosition=7,,Manager (Manager/Supervisor of Staff),0411f03f0414a3ad2ce80fb32449dbbc,GA
9714,United States of America,US,,No,jobs.monster.com,analytical bench chemist job in newburyport,analytical bench chemist job in newburyport,Full Time,"Newburyport, MA 01950",Manufacturing - Other,http://jobview.monster.com/Analytical-Bench-Chemist-Job-Newburyport-MA-US-166088749.aspx?mescoid=1900259001001&jobPosition=11,"50,000.00 - 60,000.00 $ /yearBonuses",Experienced (Non-Manager),ab1db7fb719d615ad62b3f5ca03cebaf,MA
10043,United States of America,US,,No,jobs.monster.com,business intelligence lead job in el segundo,business intelligence lead job in el segundo,Full Time Employee,"El Segundo, CA",Business Services - OtherOther/Not Classified,http://jobview.monster.com/Business-Intelligence-Lead-Job-El-Segundo-CA-US-166078445.aspx?mescoid=1500144001001&jobPosition=5,,Marketing/Product,13cffd952c67fc3e6cf07c49c3009555,CA
10159,United States of America,US,,No,jobs.monster.com,turnback business analyst - rac planning job in estero,turnback business analyst - rac planning job in estero,Full Time / Employee,"Estero, FL",Manufacturing/Production/Operations,http://jobview.monster.com/Turnback-Business-Analyst-RAC-Planning-Job-Estero-FL-US-164979657.aspx?mescoid=1300087001001&jobPosition=3,,Manufacturing/Production/Operations,b93a3ca5e4837be2a2571c8103450134,FL
10521,United States of America,US,,No,jobs.monster.com,sap business intelligence manager job in monroe,sap business intelligence manager job in monroe,Full Time Employee,"Monroe, LA 71203",,http://jobview.monster.com/sap-business-intelligence-manager-job-monroe-la-us-171851599.aspx?mescoid=1100011001001&jobPosition=8,,,71faa1c88eec1d6884bb24618ab95fb7,LA
10544,United States of America,US,,No,jobs.monster.com,senior business analyst iv&v () job in jackson,senior business analyst iv&v () job in jackson,Full Time Employee,"Jackson, MS",Management Consulting Services,http://jobview.monster.com/senior-business-analyst-iv-v-1016-job-jackson-ms-us-169518845.aspx?mescoid=1300087001001&jobPosition=18,,Project/Program Management,b807bc7cf24ac07e0ff7fe0ffc4c88f0,MS
10777,United States of America,US,,No,jobs.monster.com,business analyst job in austin,business analyst job in austin,Full Time Employee,"Austin, TX",Technology,http://jobview.monster.com/Business-Analyst-Job-Austin-TX-US-167475345.aspx?mescoid=1300087001001&jobPosition=16,,Experienced (Non-Manager),921ea497d9248b41e3033ae5c7fd42b5,TX
10778,United States of America,US,,No,jobs.monster.com,financial business analyst job in mariemont,financial business analyst job in mariemont,"Full Time, Temporary/Contract/Project","Mariemont, OH 45227",Technology,http://jobview.monster.com/Financial-Business-Analyst-Job-Mariemont-OH-US-167558157.aspx?mescoid=1300087001001&jobPosition=12,,Business/Strategic Management,373bfd115e6cd093bfe5c7cdf078ca52,OH
10805,United States of America,US,,No,jobs.monster.com,jde business analyst job in houston,jde business analyst job in houston,Full Time Employee,"Houston, TX 77008",Real Estate/Property Management,http://jobview.monster.com/JDE-Business-Analyst-Job-Houston-TX-US-167625341.aspx?mescoid=1300087001001&jobPosition=2,,Business/Strategic Management,8a084c1e46c68cffe921e3aa176ab18d,TX
10827,United States of America,US,,No,jobs.monster.com,business analyst job in kansas city,business analyst job in kansas city,Full Time Employee,"Kansas City, MO",Technology,http://jobview.monster.com/Business-Analyst-Job-Kansas-City-MO-US-167628432.aspx?mescoid=1300087001001&jobPosition=1,,Experienced (Non-Manager),89d1ab091223a4273f57a9a97ee52872,MO
11130,United States of America,US,,No,jobs.monster.com,data analyst job in mequon,data analyst job in mequon,"Full Time, Temporary/Contract/Project","Mequon, WI 53092",Other/Not Classified,http://jobview.monster.com/data-analyst-job-mequon-wi-us-178011275.aspx?mescoid=1300087001001&jobPosition=8,,Experienced (Non-Manager),e3bb3bbe433d875ee84daa2a0dd3f1c8,WI
11188,United States of America,US,,No,jobs.monster.com,analytical accountant job in san antonio,analytical accountant job in san antonio,Full Time Temporary/Contract/Project,"San Antonio, TX 78247",Other/Not Classified,http://jobview.monster.com/analytical-accountant-job-san-antonio-tx-us-170079796.aspx?mescoid=1300101001001&jobPosition=11,,Experienced (Non-Manager),dffceb2bbf1ec7e1fc2760207f36abae,TX
11788,United States of America,US,,No,jobs.monster.com,iot analytics sme job in jupiter,iot analytics sme job in jupiter,Full Time Employee,"Jupiter, FL 33458",Technology,http://jobview.monster.com/iot-analytics-sme-job-jupiter-fl-us-168124860.aspx?mescoid=1300093001001&jobPosition=3,,IT/Software Development,add6489b67ec8c904a032d769bf720c3,FL
11813,United States of America,US,,No,jobs.monster.com,data and business intelligence engineer - . job in woodland hills,data and business intelligence engineer - . job in woodland hills,Full Time Employee,"Woodland Hills, CA 91367",Other/Not Classified,http://jobview.monster.com/data-business-intelligence-engineer-job-woodland-hills-ca-us-168137091.aspx?mescoid=1500127001001&jobPosition=17,,Experienced (Non-Manager),034e7f61e419dc61efebf2d93e2d535f,CA
11837,United States of America,US,,No,jobs.monster.com,business systems/ data analyst- asset management job in boston,business systems/ data analyst- asset management job in boston,"Full Time, Temporary/Contract/Project",Boston   MA,,http://jobview.monster.com/business-systems-data-analyst-asset-management-job-boston-ma-us-168579002.aspx?mescoid=1500123001001&jobPosition=17,,,ff6bcd0d20b7d0eec1e3c0d7f8029b0a,MA
11852,United States of America,US,,No,jobs.monster.com,scientist & statistician - diagnostic imaging agent manufacturing job in lawrence,scientist & statistician - diagnostic imaging agent manufacturing job in lawrence,Full Time,"Lawrence, MA 01840",Other/Not Classified,http://jobview.monster.com/scientist-statistician-diagnostic-imaging-agent-manufacturing-job-lawrence-ma-us-169419114.aspx?mescoid=2900538001001&jobPosition=10,"60,000.00 - 100,000.00 $ /year",Experienced (Non-Manager),c296e2edbc1f28a9036d84561520829d,MA
11854,United States of America,US,,No,jobs.monster.com,sas/statistician/remote,sas/statistician/remote,"Full Time, Employee","Warren, NJ 07059",Biotechnology/Pharmaceuticals,http://jobview.monster.com/sas-statistician-remote-outcome-research-clinical-data-manager-clinical-project-manager-job-warren-nj-us-169488958.aspx?mescoid=1500154001001&jobPosition=12,"80,000.00 - 220,000.00 $ /year",Biotech/R&D/Science,34b986d41430107a1fa764b434f55f2c,NJ
11858,United States of America,US,,No,jobs.monster.com,sas/statistician,sas/statistician,"Full Time, Employee","Westwood, NJ 07677",Biotechnology/Pharmaceuticals,http://jobview.monster.com/sas-statistician-jreview-sdtm-data-manager-study-manager-dictionary-coding-medical-writer-job-westwood-nj-us-169445311.aspx?mescoid=1100011001001&jobPosition=17,"80,000.00 - 220,000.00 $ /year",Biotech/R&D/Science,f0da4883be639613135202b06b85bf1c,NJ
11870,United States of America,US,,No,jobs.monster.com,sas/statistician/remote,sas/statistician/remote,"Full Time, Employee","Warren, NJ 07059",Biotechnology/Pharmaceuticals,http://jobview.monster.com/sas-statistician-remote-outcome-research-clinical-data-manager-clinical-project-manager-job-warren-nj-us-169445300.aspx?mescoid=1500154001001&jobPosition=19,"80,000.00 - 220,000.00 $ /year",Biotech/R&D/Science,e0ae96f28a8741fe06b92ed485762da4,NJ
11956,United States of America,US,,No,jobs.monster.com,insurance business analyst job in conshohocken,insurance business analyst job in conshohocken,"Full Time, Employee","Conshohocken, PA",Technology,http://jobview.monster.com/Insurance-Business-Analyst-Job-Conshohocken-PA-US-167039408.aspx?mescoid=1300087001001&jobPosition=6,,IT/Software Development,be1ccdfd067de42d98d4731d48e2419e,PA
11968,United States of America,US,,No,jobs.monster.com,database administrator job in oklahoma city,database administrator job in oklahoma city,"Full Time , Employee","Oklahoma City, OK 73069",Chickasaw Nation Industries Aviation,http://jobview.monster.com/Database-Administrator-Job-Oklahoma-City-OK-US-167045546.aspx?mescoid=1500130001001&jobPosition=4,,IT/Software Development,68b17c74d32e21ef4c5c824216323ce0,OK
12001,United States of America,US,,No,jobs.monster.com,sql server database administrator job in new york,sql server database administrator job in new york,"Full Time, Temporary/Contract/Project","New York, NY 10017",Other/Not Classified,http://jobview.monster.com/SQL-Server-Database-Administrator-Job-New-York-NY-US-166986778.aspx?mescoid=1500130001001&jobPosition=9,,Experienced (Non-Manager),567968682410fd640dfcd34e7c78661e,NY
12081,United States of America,US,,No,jobs.monster.com,hr data analyst job in seattle,hr data analyst job in seattle,Full Time,"Seattle, WA 98121",Entry Level,http://jobview.monster.com/HR-Data-Analyst-Job-Seattle-WA-US-165860436.aspx?mescoid=1300087001001&jobPosition=17,DOE,Entry Level,a7db6f8c25e4db62dbb7dc7a5617eb81,WA
